account_id,company,vertical,domain,cohort,existing_decision_maker,existing_route,organization_matched,search_candidates,selected_person,selected_title,selection_reason,enriched,match_confidence,apollo_email,attribution_role,attribution_basis,apollo_person_id,apollo_organization_id,provider_request_id,new_information,credits_estimated,outcome,note
050833d4-8fdc-440f-8561-e09ddb86b48c,"Fenwick Waychoff's Air Conditioning, Electrical & Plumbing",HVAC,fenwickhomeservices.com,B_NO_DECISION_MAKER,,,no,0,,,Apollo returned nobody at this company,no,,,,,,,,no,0,NO_MATCH,
1735180a-4e44-43dd-94c8-9fc3fe1a88f3,All Around Fort Worth Heat And Air,HVAC,allaroundftworthheatandair.com,B_NO_DECISION_MAKER,,REDACTED_SEE_PRIVATE_AUDIT,no,0,,,Apollo returned nobody at this company,no,,,,,,,,no,0,NO_MATCH,
1c9aea78-2053-4a64-adf8-2916cf57748f,Blue Collar Heating & Cooling,HVAC,bluecollar-hvac.com,B_NO_DECISION_MAKER,,,no,0,,,Apollo returned nobody at this company,no,,,,,,,,no,0,NO_MATCH,
1db30dfd-e961-4c60-b9ba-035f0f0bcf78,American Thermal Services,HVAC,americanthermalservices.com,B_NO_DECISION_MAKER,,,no,0,,,Apollo returned nobody at this company,no,,,,,,,,no,0,NO_MATCH,
2046d375-10af-4236-996c-f14341de285c,Flow-Tech Air Conditioning Corp,HVAC,flowtechac.com,B_NO_DECISION_MAKER,,,no,0,,,Apollo returned nobody at this company,no,,,,,,,,no,0,NO_MATCH,
22ad040b-7c54-4acd-8eb5-6ca7ebe222b4,Harker Heating & Cooling,HVAC,harkerheating.com,B_NO_DECISION_MAKER,,,domain-scoped,3,,,3 candidates are too close to separate (Bruce and Judith),no,,,,,,,,no,0,AMBIGUOUS,
011e1b77-ed9e-489c-b7d2-0d54558314de,Orlando HVAC Cooling Service,HVAC,,C_UNREADABLE_CORROBORATED,,,name-only,25,,,"every candidate was refused: not a person, or not employed here",no,,,,,,,,no,0,NO_MATCH,
0302b334-0aa0-437f-8270-0223e007d11b,Pro-Tech Air Conditioning & Plumbing Service,HVAC,protechac.com,C_UNREADABLE_CORROBORATED,,,domain-scoped,1,REDACTED_SEE_PRIVATE_AUDIT,President,"REDACTED: Apollo places this person at protechac.com; title reads as president; Apollo holds no email for them, so enriching would buy nothing; the surname is redacted until enrichment, so identity is pro",no,,,,,REDACTED_SEE_PRIVATE_AUDIT,,,yes,0,FOUND_PERSON_NO_EMAIL_ON_FILE,
03377041-ab0d-485c-9e76-f5df40109e0d,Hvac Services - Florida Home Contractors,HVAC,floridahomecontractors.com,C_UNREADABLE_CORROBORATED,,,no,0,,,Apollo returned nobody at this company,no,,,,,,,,no,0,NO_MATCH,
0d630b24-67a0-4bfd-975f-b4e523be0440,Local HVAC Company,HVAC,,C_UNREADABLE_CORROBORATED,,,name-only,25,,,"every candidate was refused: not a person, or not employed here",no,,,,,,,,no,0,NO_MATCH,
